"season","week","game_type","franchise_id","franchise_score","opponent_id","opponent_score","result","result_char"
2021,1,0,1,156.82,10,174.56,0,"L"
2021,1,0,2,179.92,8,130.58,1,"W"
2021,1,0,3,106.14,14,210.8,0,"L"
2021,1,0,4,143.24,13,176.28,0,"L"
2021,1,0,5,153.64,9,201.44,0,"L"
2021,1,0,6,198.36,11,163.86,1,"W"
2021,1,0,7,166.96,12,143.74,1,"W"
2021,1,0,8,130.58,2,179.92,0,"L"
2021,1,0,9,201.44,5,153.64,1,"W"
2021,1,0,10,174.56,1,156.82,1,"W"
2021,1,0,11,163.86,6,198.36,0,"L"
2021,1,0,12,143.74,7,166.96,0,"L"
2021,1,0,13,176.28,4,143.24,1,"W"
2021,1,0,14,210.8,3,106.14,1,"W"
2021,2,0,1,137.84,5,167.46,0,"L"
2021,2,0,2,189.34,6,141.86,1,"W"
2021,2,0,3,118.14,7,186.78,0,"L"
2021,2,0,4,126.92,11,160.66,0,"L"
2021,2,0,5,167.46,1,137.84,1,"W"
2021,2,0,6,141.86,2,189.34,0,"L"
2021,2,0,7,186.78,3,118.14,1,"W"
2021,2,0,8,143.34,9,206,0,"L"
2021,2,0,9,206,8,143.34,1,"W"
2021,2,0,10,118.84,12,160.94,0,"L"
2021,2,0,11,160.66,4,126.92,1,"W"
2021,2,0,12,160.94,10,118.84,1,"W"
2021,2,0,13,174.38,14,80.62,1,"W"
2021,2,0,14,80.62,13,174.38,0,"L"
2021,3,0,1,82.24,8,118.82,0,"L"
2021,3,0,2,185.42,4,138.72,1,"W"
2021,3,0,3,113.86,10,216.9,0,"L"
2021,3,0,4,138.72,2,185.42,0,"L"
2021,3,0,5,178.2,12,129.04,1,"W"
2021,3,0,6,151.1,9,129.08,1,"W"
2021,3,0,7,122.5,14,168.3,0,"L"
2021,3,0,8,118.82,1,82.24,1,"W"
2021,3,0,9,129.08,6,151.1,0,"L"
2021,3,0,10,216.9,3,113.86,1,"W"
2021,3,0,11,212.14,13,166.5,1,"W"
2021,3,0,12,129.04,5,178.2,0,"L"
2021,3,0,13,166.5,11,212.14,0,"L"
2021,3,0,14,168.3,7,122.5,1,"W"
2021,4,0,1,116.66,6,133.36,0,"L"
2021,4,0,2,128.98,13,214.28,0,"L"
2021,4,0,3,119.2,5,140.52,0,"L"
2021,4,0,4,158,9,145.24,1,"W"
2021,4,0,5,140.52,3,119.2,1,"W"
2021,4,0,6,133.36,1,116.66,1,"W"
2021,4,0,7,132.7,10,149.62,0,"L"
2021,4,0,8,199.5,12,135.62,1,"W"
2021,4,0,9,145.24,4,158,0,"L"
2021,4,0,10,149.62,7,132.7,1,"W"
2021,4,0,11,190.14,14,129.44,1,"W"
2021,4,0,12,135.62,8,199.5,0,"L"
2021,4,0,13,214.28,2,128.98,1,"W"
2021,4,0,14,129.44,11,190.14,0,"L"
2021,5,0,1,111.76,4,119,0,"L"
2021,5,0,2,186.1,11,193.48,0,"L"
2021,5,0,3,129.98,8,94.36,1,"W"
2021,5,0,4,119,1,111.76,1,"W"
2021,5,0,5,179.88,7,244.46,0,"L"
2021,5,0,6,159.38,12,179.18,0,"L"
2021,5,0,7,244.46,5,179.88,1,"W"
2021,5,0,8,94.36,3,129.98,0,"L"
2021,5,0,9,132.04,13,199.5,0,"L"
2021,5,0,10,144.88,14,178.96,0,"L"
2021,5,0,11,193.48,2,186.1,1,"W"
2021,5,0,12,179.18,6,159.38,1,"W"
2021,5,0,13,199.5,9,132.04,1,"W"
2021,5,0,14,178.96,10,144.88,1,"W"
2021,6,0,1,176.32,13,180.12,0,"L"
2021,6,0,2,131.04,14,138.68,0,"L"
2021,6,0,3,136.16,6,175.82,0,"L"
2021,6,0,4,200.84,12,134.5,1,"W"
2021,6,0,5,156.42,10,157.58,0,"L"
2021,6,0,6,175.82,3,136.16,1,"W"
2021,6,0,7,105.74,8,131.82,0,"L"
2021,6,0,8,131.82,7,105.74,1,"W"
2021,6,0,9,113.9,11,155.82,0,"L"
2021,6,0,10,157.58,5,156.42,1,"W"
2021,6,0,11,155.82,9,113.9,1,"W"
2021,6,0,12,134.5,4,200.84,0,"L"
2021,6,0,13,180.12,1,176.32,1,"W"
2021,6,0,14,138.68,2,131.04,1,"W"
2021,7,0,1,142.04,11,129,1,"W"
2021,7,0,2,148.68,9,146.32,1,"W"
2021,7,0,3,137.08,4,101.08,1,"W"
2021,7,0,4,101.08,3,137.08,0,"L"
2021,7,0,5,113.18,14,100.12,1,"W"
2021,7,0,6,163.48,7,168.06,0,"L"
2021,7,0,7,168.06,6,163.48,1,"W"
2021,7,0,8,151.36,10,141.88,1,"W"
2021,7,0,9,146.32,2,148.68,0,"L"
2021,7,0,10,141.88,8,151.36,0,"L"
2021,7,0,11,129,1,142.04,0,"L"
2021,7,0,12,76.98,13,181.64,0,"L"
2021,7,0,13,181.64,12,76.98,1,"W"
2021,7,0,14,100.12,5,113.18,0,"L"
2021,8,0,1,147.72,2,170.56,0,"L"
2021,8,0,2,170.56,1,147.72,1,"W"
2021,8,0,3,118.24,13,182.76,0,"L"
2021,8,0,4,141.78,7,121.9,1,"W"
2021,8,0,5,143.84,8,133.04,1,"W"
2021,8,0,6,148.48,10,116.9,1,"W"
2021,8,0,7,121.9,4,141.78,0,"L"
2021,8,0,8,133.04,5,143.84,0,"L"
2021,8,0,9,109,14,110.1,0,"L"
2021,8,0,10,116.9,6,148.48,0,"L"
2021,8,0,11,149,12,93.06,1,"W"
2021,8,0,12,93.06,11,149,0,"L"
2021,8,0,13,182.76,3,118.24,1,"W"
2021,8,0,14,110.1,9,109,1,"W"
2021,9,0,1,155.7,9,134.96,1,"W"
2021,9,0,2,136.62,12,97.84,1,"W"
2021,9,0,3,139.16,11,127.48,1,"W"
2021,9,0,4,88.1,10,81.56,1,"W"
2021,9,0,5,154.92,6,148.26,1,"W"
2021,9,0,6,148.26,5,154.92,0,"L"
2021,9,0,7,144.74,13,99.18,1,"W"
2021,9,0,8,116.08,14,148.6,0,"L"
2021,9,0,9,134.96,1,155.7,0,"L"
2021,9,0,10,81.56,4,88.1,0,"L"
2021,9,0,11,127.48,3,139.16,0,"L"
2021,9,0,12,97.84,2,136.62,0,"L"
2021,9,0,13,99.18,7,144.74,0,"L"
2021,9,0,14,148.6,8,116.08,1,"W"
2021,10,0,1,129.62,14,144.16,0,"L"
2021,10,0,2,160.44,3,127.5,1,"W"
2021,10,0,3,127.5,2,160.44,0,"L"
2021,10,0,4,124.9,5,124.64,1,"W"
2021,10,0,5,124.64,4,124.9,0,"L"
2021,10,0,6,140.24,8,44.9,1,"W"
2021,10,0,7,109.66,11,116.08,0,"L"
2021,10,0,8,44.9,6,140.24,0,"L"
2021,10,0,9,130.96,12,110.58,1,"W"
2021,10,0,10,126.54,13,169.32,0,"L"
2021,10,0,11,116.08,7,109.66,1,"W"
2021,10,0,12,110.58,9,130.96,0,"L"
2021,10,0,13,169.32,10,126.54,1,"W"
2021,10,0,14,144.16,1,129.62,1,"W"
2021,11,0,1,157.72,12,154.62,1,"W"
2021,11,0,2,165,7,98.78,1,"W"
2021,11,0,3,136.7,9,169.54,0,"L"
2021,11,0,4,98.38,8,119.2,0,"L"
2021,11,0,5,215.68,13,176.72,1,"W"
2021,11,0,6,168.36,14,98.36,1,"W"
2021,11,0,7,98.78,2,165,0,"L"
2021,11,0,8,119.2,4,98.38,1,"W"
2021,11,0,9,169.54,3,136.7,1,"W"
2021,11,0,10,121.62,11,150.28,0,"L"
2021,11,0,11,150.28,10,121.62,1,"W"
2021,11,0,12,154.62,1,157.72,0,"L"
2021,11,0,13,176.72,5,215.68,0,"L"
2021,11,0,14,98.36,6,168.36,0,"L"
2021,12,0,1,122.94,3,161,0,"L"
2021,12,0,2,126.4,10,108.9,1,"W"
2021,12,0,3,161,1,122.94,1,"W"
2021,12,0,4,132.6,6,119.26,1,"W"
2021,12,0,5,122.68,11,191.6,0,"L"
2021,12,0,6,119.26,4,132.6,0,"L"
2021,12,0,7,137.78,9,143.8,0,"L"
2021,12,0,8,129.68,13,164.7,0,"L"
2021,12,0,9,143.8,7,137.78,1,"W"
2021,12,0,10,108.9,2,126.4,0,"L"
2021,12,0,11,191.6,5,122.68,1,"W"
2021,12,0,12,140.34,14,94.62,1,"W"
2021,12,0,13,164.7,8,129.68,1,"W"
2021,12,0,14,94.62,12,140.34,0,"L"
2021,13,0,1,113.92,7,176.06,0,"L"
