"season","franchise_id","wins","losses","ties","win_pct","points_for","points_against","max_points_for","accuracy","allplay_wins","allplay_losses","allplay_win_pct"
2025,4,11,3,0,0.786,3075.64,2701.94,3596.26,0.855,159,34,0.824
2025,11,11,3,0,0.786,2892.48,2439.82,3399.99,0.851,127,77,0.623
2025,2,9,5,0,0.643,3043.32,2726.56,3789.12,0.803,154,50,0.755
2025,7,9,5,0,0.643,2615.8,2653.6,3117.86,0.839,110,94,0.539
2025,10,9,5,0,0.643,2795.22,2505.26,3287.62,0.85,127,66,0.658
2025,1,7,7,0,0.5,2748.24,2531.56,3330.26,0.825,111,82,0.575
2025,3,7,7,0,0.5,2508.8,2506.66,3187.76,0.787,100,104,0.49
2025,5,7,7,0,0.5,2801.48,2602.2,3318.34,0.844,109,95,0.534
2025,8,6,8,0,0.429,2495.56,2531.26,2917.98,0.855,76,128,0.373
2025,12,6,8,0,0.429,2606.54,2814.18,3283.44,0.794,92,112,0.451
2025,14,5,9,0,0.357,2497.32,2699.6,3052.58,0.818,71,122,0.368
2025,6,4,10,0,0.286,2334.24,2702.82,2885,0.809,67,137,0.328
2025,13,4,10,0,0.286,2281.22,2801.58,2809.92,0.812,56,148,0.275
2025,9,3,11,0,0.214,2219.9,2699.26,2741.64,0.81,47,157,0.23
2024,2,11,3,0,0.786,3289.2,2618.68,3706.32,0.887,176,39,0.819
2024,8,11,3,0,0.786,3215.92,2645.34,3900.99,0.824,167,37,0.819
2024,7,10,4,0,0.714,2692.4,2531.22,3112.14,0.865,115,89,0.564
2024,10,10,4,0,0.714,2895.78,2615.68,3403.6,0.851,139,76,0.647
2024,12,10,4,0,0.714,2830.24,2415.32,3305.64,0.856,138,77,0.642
2024,1,9,5,0,0.643,2834.8,2697.5,3639.76,0.779,145,70,0.674
2024,4,8,6,0,0.571,2552.22,2526.6,3004.58,0.849,88,116,0.431
2024,3,6,8,0,0.429,2534.14,2676.8,3063.24,0.827,95,120,0.442
2024,11,6,8,0,0.429,2705.44,2710.5,3291.2,0.822,108,96,0.529
