"franchise_id","franchise_name","h2h_wins","h2h_losses","h2h_ties","h2h_winpct","points_for","points_against","potential_points","allplay_wins","allplay_losses","allplay_winpct","season"
"1","Toronto Hogs","3","11","0","0.214285714285714","1854.66","2096.7","2216.2","84","122","0.408","2021"
"2","Bikini Bottom Stars","11","3","0","0.785714285714286","2274.38","1941.54","2497.14","145","72","0.668","2021"
"3","Newfoundland Blowers","5","9","0","0.357142857142857","1764.38","2114.82","2016.76","67","150","0.309","2021"
"4","Thunder Bay Mustangs ","8","6","0","0.571428571428571","1928.8","1871.82","2372.86","101","116","0.465","2021"
"5","Winnipeg Wankers ","8","6","0","0.571428571428571","2157.5","2209.16","2459.74","121","96","0.558","2021"
"6","Choccolocco Railfans","8","6","0","0.571428571428571","2173.4","1933.36","2452.6","145","72","0.668","2021"
"7","Pokémon Omega Judge Judy","7","7","0","0.5","2029.8","1918.92","2321.22","110","107","0.507","2021"
"8","Iqaluit Trout","5","9","0","0.357142857142857","1705.1","1942.8","1989.34","64","142","0.311","2021"
"9","Saskatoon Squirrels","8","6","0","0.571428571428571","2035.86","1972.44","2357.2","124","93","0.571","2021"
"10","Calgary Cocks","5","9","0","0.357142857142857","1875.22","1981.46","2257.44","80","126","0.388","2021"
"11","Montreal Generals","10","4","0","0.714285714285714","2203.46","1933","2507.96","118","99","0.544","2021"
"12","Mississauga Mastodons","4","10","0","0.285714285714286","1751.94","2071.92","1902.96","67","150","0.309","2021"
"13","Vancouver Mounties","10","4","0","0.714285714285714","2383.4","1972.2","2793.34","179","38","0.825","2021"
"14","Unsolicited Dak Pics","6","8","0","0.428571428571429","1817.56","1995.68","2123.82","92","114","0.447","2021"
"1","Toronto Hogs","3","11","0","0.214285714285714","2500.1","2710.1","3109","90","127","0.415","2022"
"2","Bikini Bottom Stars","10","4","0","0.714285714285714","3003.76","2833.44","3443.14","165","52","0.76","2022"
"3","Newfoundland Blowers","7","7","0","0.5","2726.9","2711.14","3159.76","106","111","0.488","2022"
"4","Thunder Bay Mustangs","6","8","0","0.428571428571429","2444.66","2762.34","2985.92","68","138","0.33","2022"
"5","Winnipeg Wranglers","8","6","0","0.571428571428571","2973.42","2791.48","3416.4","145","72","0.668","2022"
"6","Choccolocco Railfans","10","4","0","0.714285714285714","3037.7","2762.86","3539.84","150","67","0.691","2022"
"7","Pokémon Omega Judge Judy","10","4","0","0.714285714285714","3049.28","2503.74","3601.66","150","67","0.691","2022"
"8","Iqaluit Trout","6","8","0","0.428571428571429","2592.28","2827.4","3153.88","97.5","108.5","0.473","2022"
"9","Saskatoon Squirrels","8","6","0","0.571428571428571","2808.8","2686.86","3269.86","118","99","0.544","2022"
"10","Calgary Cocks","3","11","0","0.214285714285714","2341.6","2760.16","2833.36","55.5","150.5","0.269","2022"
