"draft_id","status","type","season","round","pick","franchise_id","franchise_name","player_id","player_name","pos","age","team"
"833952111766130560","complete","snake","2022","1","1","1","Toronto Hogs","8155","Breece Hall","RB","24.6","NYJ"
"833952111766130560","complete","snake","2022","1","2","10","Calgary Cocks","8151","Kenneth Walker","RB","25.2","SEA"
"833952111766130560","complete","snake","2022","1","3","3","Newfoundland Blowers","8135","Treylon Burks","WR","25.7","WAS"
"833952111766130560","complete","snake","2022","1","4","12","Mississauga Mastodons","8146","Garrett Wilson","WR","25.4","NYJ"
"833952111766130560","complete","snake","2022","1","5","14","Gold Coast Sharks","8112","Drake London","WR","24.4","ATL"
"833952111766130560","complete","snake","2022","1","6","12","Mississauga Mastodons","8138","James Cook","RB","26.2","BUF"
"833952111766130560","complete","snake","2022","1","7","10","Calgary Cocks","8144","Chris Olave","WR","25.5","NO"
"833952111766130560","complete","snake","2022","1","8","11","Montreal Generals","8168","Skyy Moore","WR","25.3","SF"
"833952111766130560","complete","snake","2022","1","9","4","Thunder Bay Mustangs","8137","George Pickens","WR","24.8","DAL"
"833952111766130560","complete","snake","2022","1","10","4","Thunder Bay Mustangs","8119","Jahan Dotson","WR","25.7","PHI"
"833952111766130560","complete","snake","2022","1","11","9","Saskatoon Squirrels","8129","Dameon Pierce","RB","25.8","KC"
"833952111766130560","complete","snake","2022","1","12","3","Newfoundland Blowers","8136","Rachaad White","RB","26.9","TB"
"833952111766130560","complete","snake","2022","1","13","13","Vancouver Mounties","8160","Kenny Pickett","QB","27.5","LV"
"833952111766130560","complete","snake","2022","1","14","10","Calgary Cocks","8167","Christian Watson","WR","26.6","GB"
"833952111766130560","complete","snake","2022","2","14","10","Calgary Cocks","8118","David Bell","WR","25",NA
"833952111766130560","complete","snake","2022","2","13","8","Iqaluit Trout","8153","Isaiah Spiller","RB","24.4",NA
"833952111766130560","complete","snake","2022","2","12","5","Winnipeg Wranglers","8289","Aidan Hutchinson","DL","25.4","DET"
"833952111766130560","complete","snake","2022","2","11","8","Iqaluit Trout","8142","Alec Pierce","WR","25.6","IND"
"833952111766130560","complete","snake","2022","2","10","4","Thunder Bay Mustangs","8126","Wan'Dale Robinson","WR","25","NYG"
"833952111766130560","complete","snake","2022","2","9","11","Montreal Generals","8132","Tyler Allgeier","RB","25.7","ATL"
"833952111766130560","complete","snake","2022","2","8","1","Toronto Hogs","8148","Jameson Williams","WR","24.7","DET"
"833952111766130560","complete","snake","2022","2","7","6","Choccolocco Railfans","8355","Kayvon Thibodeaux","DL","25","NYG"
"833952111766130560","complete","snake","2022","2","6","8","Iqaluit Trout","8290","Sauce Gardner","DB","25.3","IND"
"833952111766130560","complete","snake","2022","2","5","4","Thunder Bay Mustangs","8159","Desmond Ridder","QB","26.3",NA
"833952111766130560","complete","snake","2022","2","4","12","Mississauga Mastodons","8339","Kyle Hamilton","DB","24.8","BAL"
"833952111766130560","complete","snake","2022","2","3","11","Montreal Generals","8130","Trey McBride","TE","26.1","ARI"
"833952111766130560","complete","snake","2022","2","2","10","Calgary Cocks","8161","Malik Willis","QB","26.6","GB"
"833952111766130560","complete","snake","2022","2","1","4","Thunder Bay Mustangs","8117","Jalen Tolbert","WR","26.8","DAL"
"833952111766130560","complete","snake","2022","3","1","14","Gold Coast Sharks","8211","Tyrion Davis-Price","RB","25.2",NA
"833952111766130560","complete","snake","2022","3","2","10","Calgary Cocks","8154","Brian Robinson","RB","26.7","SF"
"833952111766130560","complete","snake","2022","3","3","3","Newfoundland Blowers","8308","Derek Stingley","DB","24.5","HOU"
"833952111766130560","complete","snake","2022","3","4","14","Gold Coast Sharks","8219","Jelani Woods","TE","27.2","NYJ"
"833952111766130560","complete","snake","2022","3","5","9","Saskatoon Squirrels","8139","Zamir White","RB","26.3","LV"
"833952111766130560","complete","snake","2022","3","6","2","Bikini Bottom Stars","8121","Romeo Doubs","WR","25.7","GB"
"833952111766130560","complete","snake","2022","3","7","5","Winnipeg Wranglers","8123","Hassan Haskins","RB","26.1","LAC"
"833952111766130560","complete","snake","2022","3","8","10","Calgary Cocks","8258","Cade York","K","24.9",NA
"833952111766130560","complete","snake","2022","3","9","11","Montreal Generals","8188","Tyquan Thornton","WR","25.4","KC"
"833952111766130560","complete","snake","2022","3","10","7","Pokémon Omega Judge Judy","8140","Justyn Ross","WR","26",NA
"833952111766130560","complete","snake","2022","3","11","9","Saskatoon Squirrels","8267","Nakobe Dean","LB","25","PHI"
"833952111766130560","complete","snake","2022","3","12","8","Iqaluit Trout","8164","Matt Corral","QB","26.9",NA
"833952111766130560","complete","snake","2022","3","13","2","Bikini Bottom Stars","8150","Kyren Williams","RB","25.3","LAR"
"833952111766130560","complete","snake","2022","3","14","6","Choccolocco Railfans","8329","Devin Lloyd","LB","27.2","JAX"
"833952111766130560","complete","snake","2022","4","14","1","Toronto Hogs","8205","Isiah Pacheco","RB","26.8","KC"
"833952111766130560","complete","snake","2022","4","13","8","Iqaluit Trout","8268","Lewis Cine","DB","26.2",NA
"833952111766130560","complete","snake","2022","4","12","8","Iqaluit Trout","8398","Jermaine Johnson","LB","27","NYJ"
"833952111766130560","complete","snake","2022","4","11","9","Saskatoon Squirrels","8323","Jaquan Brisker","DB","26.7","CHI"
"833952111766130560","complete","snake","2022","4","10","10","Calgary Cocks","8172","Greg Dulcich","TE","25.7","MIA"
"833952111766130560","complete","snake","2022","4","9","11","Montreal Generals","8265","Travon Walker","LB","25","JAX"
"833952111766130560","complete","snake","2022","4","8","1","Toronto Hogs","8221","Keaontay Ingram","RB","26.2","KC"
"833952111766130560","complete","snake","2022","4","7","5","Winnipeg Wranglers","8147","John Metchie","WR","25.4","NYJ"
"833952111766130560","complete","snake","2022","4","6","1","Toronto Hogs","8134","Khalil Shakir","WR","25.9","BUF"
