"season","franchise_id","franchise_name","round","original_franchise_id"
2025,1,"Toronto Hogs",1,1
2025,1,"Toronto Hogs",4,10
2025,1,"Toronto Hogs",3,1
2025,1,"Toronto Hogs",4,1
2025,1,"Toronto Hogs",4,2
2025,1,"Toronto Hogs",4,11
2025,1,"Toronto Hogs",1,1
2025,1,"Toronto Hogs",1,7
2025,1,"Toronto Hogs",3,1
2025,1,"Toronto Hogs",4,1
2025,2,"Bikini Bottom Stars",4,13
2025,2,"Bikini Bottom Stars",4,14
2025,2,"Bikini Bottom Stars",4,10
2025,2,"Bikini Bottom Stars",1,2
2025,2,"Bikini Bottom Stars",2,2
2025,2,"Bikini Bottom Stars",2,3
2025,2,"Bikini Bottom Stars",2,7
2025,2,"Bikini Bottom Stars",3,2
2025,2,"Bikini Bottom Stars",4,2
2025,3,"Newfoundland Blowers",2,4
2025,3,"Newfoundland Blowers",3,5
2025,3,"Newfoundland Blowers",4,9
2025,3,"Newfoundland Blowers",1,4
2025,3,"Newfoundland Blowers",4,7
2025,3,"Newfoundland Blowers",4,3
2025,3,"Newfoundland Blowers",4,7
2025,4,"Thunder Bay Mustangs",3,4
2025,4,"Thunder Bay Mustangs",4,4
2025,4,"Thunder Bay Mustangs",2,4
2025,4,"Thunder Bay Mustangs",4,4
2025,4,"Thunder Bay Mustangs",2,4
2025,4,"Thunder Bay Mustangs",3,4
2025,4,"Thunder Bay Mustangs",4,4
2025,5,"Winnipeg Wranglers",2,5
2025,5,"Winnipeg Wranglers",2,7
2025,5,"Winnipeg Wranglers",2,5
2025,5,"Winnipeg Wranglers",3,5
2025,5,"Winnipeg Wranglers",1,5
2025,5,"Winnipeg Wranglers",2,5
2025,5,"Winnipeg Wranglers",3,5
2025,5,"Winnipeg Wranglers",4,5
2025,6,"Choccolocco Railfans",1,6
2025,6,"Choccolocco Railfans",1,5
2025,6,"Choccolocco Railfans",1,7
2025,6,"Choccolocco Railfans",2,6
2025,6,"Choccolocco Railfans",3,6
2025,6,"Choccolocco Railfans",4,6
2025,6,"Choccolocco Railfans",1,6
2025,6,"Choccolocco Railfans",1,5
2025,6,"Choccolocco Railfans",2,6
2025,6,"Choccolocco Railfans",2,7
2025,6,"Choccolocco Railfans",2,9
2025,6,"Choccolocco Railfans",3,6
2025,6,"Choccolocco Railfans",4,6
2025,6,"Choccolocco Railfans",1,6
2025,6,"Choccolocco Railfans",1,4
2025,6,"Choccolocco Railfans",2,6
2025,6,"Choccolocco Railfans",3,6
2025,6,"Choccolocco Railfans",4,6
2025,7,"Prince Edward Islanders",1,4
2025,7,"Prince Edward Islanders",3,9
2025,7,"Prince Edward Islanders",4,1
2025,7,"Prince Edward Islanders",1,7
2025,7,"Prince Edward Islanders",2,1
2025,8,"Iqaluit Trout",1,8
2025,8,"Iqaluit Trout",2,8
2025,8,"Iqaluit Trout",4,8
2025,8,"Iqaluit Trout",4,5
2025,8,"Iqaluit Trout",1,8
2025,8,"Iqaluit Trout",1,1
2025,8,"Iqaluit Trout",2,8
2025,8,"Iqaluit Trout",2,3
2025,8,"Iqaluit Trout",3,8
2025,8,"Iqaluit Trout",4,8
2025,8,"Iqaluit Trout",1,8
2025,8,"Iqaluit Trout",1,3
2025,8,"Iqaluit Trout",2,8
2025,8,"Iqaluit Trout",3,8
2025,8,"Iqaluit Trout",4,8
2025,9,"New New York Benders ",1,9
2025,9,"New New York Benders ",2,9
2025,9,"New New York Benders ",3,3
2025,9,"New New York Benders ",1,9
2025,9,"New New York Benders ",2,1
2025,9,"New New York Benders ",3,9
2025,9,"New New York Benders ",3,7
2025,9,"New New York Benders ",1,9
2025,9,"New New York Benders ",2,9
2025,9,"New New York Benders ",3,9
2025,9,"New New York Benders ",3,7
