"week","franchise_id","franchise_score","opponent_id","opponent_score","result","season"
"1","1","156.82","10","174.56","L","2021"
"1","2","179.92","8","130.58","W","2021"
"1","3","106.14","14","210.8","L","2021"
"1","4","143.24","13","176.28","L","2021"
"1","5","153.64","9","201.44","L","2021"
"1","6","198.36","11","163.86","W","2021"
"1","7","166.96","12","143.74","W","2021"
"1","8","130.58","2","179.92","L","2021"
"1","9","201.44","5","153.64","W","2021"
"1","10","174.56","1","156.82","W","2021"
"1","11","163.86","6","198.36","L","2021"
"1","12","143.74","7","166.96","L","2021"
"1","13","176.28","4","143.24","W","2021"
"1","14","210.8","3","106.14","W","2021"
"2","1","137.84","5","167.46","L","2021"
"2","2","189.34","6","141.86","W","2021"
"2","3","118.14","7","186.78","L","2021"
"2","4","126.92","11","160.66","L","2021"
"2","5","167.46","1","137.84","W","2021"
"2","6","141.86","2","189.34","L","2021"
"2","7","186.78","3","118.14","W","2021"
"2","8","143.34","9","206","L","2021"
"2","9","206","8","143.34","W","2021"
"2","10","118.84","12","160.94","L","2021"
"2","11","160.66","4","126.92","W","2021"
"2","12","160.94","10","118.84","W","2021"
"2","13","174.38","14","80.62","W","2021"
"2","14","80.62","13","174.38","L","2021"
"3","1","82.24","8","118.82","L","2021"
"3","2","185.42","4","138.72","W","2021"
"3","3","113.86","10","216.9","L","2021"
"3","4","138.72","2","185.42","L","2021"
"3","5","178.2","12","129.04","W","2021"
"3","6","151.1","9","129.08","W","2021"
"3","7","122.5","14","168.3","L","2021"
"3","8","118.82","1","82.24","W","2021"
"3","9","129.08","6","151.1","L","2021"
"3","10","216.9","3","113.86","W","2021"
"3","11","212.14","13","166.5","W","2021"
"3","12","129.04","5","178.2","L","2021"
"3","13","166.5","11","212.14","L","2021"
"3","14","168.3","7","122.5","W","2021"
"4","1","116.66","6","133.36","L","2021"
"4","2","128.98","13","214.28","L","2021"
"4","3","119.2","5","140.52","L","2021"
"4","4","158","9","145.24","W","2021"
"4","5","140.52","3","119.2","W","2021"
"4","6","133.36","1","116.66","W","2021"
"4","7","132.7","10","149.62","L","2021"
"4","8","199.5","12","135.62","W","2021"
"4","9","145.24","4","158","L","2021"
"4","10","149.62","7","132.7","W","2021"
"4","11","190.14","14","129.44","W","2021"
"4","12","135.62","8","199.5","L","2021"
"4","13","214.28","2","128.98","W","2021"
"4","14","129.44","11","190.14","L","2021"
"5","1","111.76","4","119","L","2021"
"5","2","186.1","11","193.48","L","2021"
"5","3","129.98","8","94.36","W","2021"
"5","4","119","1","111.76","W","2021"
"5","5","179.88","7","244.46","L","2021"
"5","6","159.38","12","179.18","L","2021"
"5","7","244.46","5","179.88","W","2021"
"5","8","94.36","3","129.98","L","2021"
"5","9","132.04","13","199.5","L","2021"
"5","10","144.88","14","178.96","L","2021"
"5","11","193.48","2","186.1","W","2021"
"5","12","179.18","6","159.38","W","2021"
"5","13","199.5","9","132.04","W","2021"
"5","14","178.96","10","144.88","W","2021"
"6","1","176.32","13","180.12","L","2021"
"6","2","131.04","14","138.68","L","2021"
"6","3","136.16","6","175.82","L","2021"
"6","4","200.84","12","134.5","W","2021"
"6","5","156.42","10","157.58","L","2021"
"6","6","175.82","3","136.16","W","2021"
"6","7","105.74","8","131.82","L","2021"
"6","8","131.82","7","105.74","W","2021"
"6","9","113.9","11","155.82","L","2021"
"6","10","157.58","5","156.42","W","2021"
"6","11","155.82","9","113.9","W","2021"
"6","12","134.5","4","200.84","L","2021"
"6","13","180.12","1","176.32","W","2021"
"6","14","138.68","2","131.04","W","2021"
"7","1","142.04","11","129","W","2021"
"7","2","148.68","9","146.32","W","2021"
"7","3","137.08","4","101.08","W","2021"
"7","4","101.08","3","137.08","L","2021"
"7","5","113.18","14","100.12","W","2021"
"7","6","163.48","7","168.06","L","2021"
"7","7","168.06","6","163.48","W","2021"
"7","8","151.36","10","141.88","W","2021"
"7","9","146.32","2","148.68","L","2021"
"7","10","141.88","8","151.36","L","2021"
"7","11","129","1","142.04","L","2021"
"7","12","76.98","13","181.64","L","2021"
"7","13","181.64","12","76.98","W","2021"
"7","14","100.12","5","113.18","L","2021"
"8","1","147.72","2","170.56","L","2021"
"8","2","170.56","1","147.72","W","2021"
"8","3","118.24","13","182.76","L","2021"
"8","4","141.78","7","121.9","W","2021"
"8","5","143.84","8","133.04","W","2021"
"8","6","148.48","10","116.9","W","2021"
"8","7","121.9","4","141.78","L","2021"
"8","8","133.04","5","143.84","L","2021"
"8","9","109","14","110.1","L","2021"
"8","10","116.9","6","148.48","L","2021"
"8","11","149","12","93.06","W","2021"
"8","12","93.06","11","149","L","2021"
"8","13","182.76","3","118.24","W","2021"
"8","14","110.1","9","109","W","2021"
"9","1","155.7","9","134.96","W","2021"
"9","2","136.62","12","97.84","W","2021"
"9","3","139.16","11","127.48","W","2021"
"9","4","88.1","10","81.56","W","2021"
"9","5","154.92","6","148.26","W","2021"
"9","6","148.26","5","154.92","L","2021"
"9","7","144.74","13","99.18","W","2021"
"9","8","116.08","14","148.6","L","2021"
"9","9","134.96","1","155.7","L","2021"
"9","10","81.56","4","88.1","L","2021"
"9","11","127.48","3","139.16","L","2021"
"9","12","97.84","2","136.62","L","2021"
"9","13","99.18","7","144.74","L","2021"
"9","14","148.6","8","116.08","W","2021"
"10","1","129.62","14","144.16","L","2021"
"10","2","160.44","3","127.5","W","2021"
"10","3","127.5","2","160.44","L","2021"
"10","4","124.9","5","124.64","W","2021"
"10","5","124.64","4","124.9","L","2021"
"10","6","140.24","8","44.9","W","2021"
"10","7","109.66","11","116.08","L","2021"
"10","8","44.9","6","140.24","L","2021"
"10","9","130.96","12","110.58","W","2021"
"10","10","126.54","13","169.32","L","2021"
"10","11","116.08","7","109.66","W","2021"
"10","12","110.58","9","130.96","L","2021"
"10","13","169.32","10","126.54","W","2021"
"10","14","144.16","1","129.62","W","2021"
"11","1","157.72","12","154.62","W","2021"
"11","2","165","7","98.78","W","2021"
"11","3","136.7","9","169.54","L","2021"
"11","4","98.38","8","119.2","L","2021"
"11","5","215.68","13","176.72","W","2021"
"11","6","168.36","14","98.36","W","2021"
"11","7","98.78","2","165","L","2021"
"11","8","119.2","4","98.38","W","2021"
"11","9","169.54","3","136.7","W","2021"
"11","10","121.62","11","150.28","L","2021"
"11","11","150.28","10","121.62","W","2021"
"11","12","154.62","1","157.72","L","2021"
"11","13","176.72","5","215.68","L","2021"
"11","14","98.36","6","168.36","L","2021"
"12","1","122.94","3","161","L","2021"
"12","2","126.4","10","108.9","W","2021"
"12","3","161","1","122.94","W","2021"
"12","4","132.6","6","119.26","W","2021"
"12","5","122.68","11","191.6","L","2021"
"12","6","119.26","4","132.6","L","2021"
"12","7","137.78","9","143.8","L","2021"
"12","8","129.68","13","164.7","L","2021"
"12","9","143.8","7","137.78","W","2021"
"12","10","108.9","2","126.4","L","2021"
