"season","draft_id","status","type","round","pick","franchise_id","franchise_name","player_id","player_name","pos","age","team"
"2023","991553376645116032","complete","snake","1","1","1","Tuafinity and Beyond","6794","Justin Jefferson","WR","26.5","MIN"
"2023","991553376645116032","complete","snake","1","2","2","Gibby2224","3321","Tyreek Hill","WR","31.8","MIA"
"2023","991553376645116032","complete","snake","1","3","3","Zac has tiny pp","4034","Christian McCaffrey","RB","29.6","SF"
"2023","991553376645116032","complete","snake","1","4","4","jche","7564","Ja'Marr Chase","WR","25.8","CIN"
"2023","991553376645116032","complete","snake","1","5","5","Pat gregorys jockstrap","1466","Travis Kelce","TE","36.2","KC"
"2023","991553376645116032","complete","snake","1","6","7","Zac’s Success","4663","Austin Ekeler","RB","30.6","WAS"
"2023","991553376645116032","complete","snake","1","7","6","lowerthanaverage","4039","Cooper Kupp","WR","32.5","SEA"
"2023","991553376645116032","complete","snake","1","8","8","Henry Ruggs’ Racecrew","9509","Bijan Robinson","RB","23.9","ATL"
"2023","991553376645116032","complete","snake","1","9","9","Josh Barsa’s Insulin Pump","5859","A.J. Brown","WR","28.5","PHI"
"2023","991553376645116032","complete","snake","1","10","10","Havana Bananas","2449","Stefon Diggs","WR","32.1","NE"
"2023","991553376645116032","complete","snake","1","11","11","CEEDEEZ NUTS","6786","CeeDee Lamb","WR","26.7","DAL"
"2023","991553376645116032","complete","snake","1","12","12","GooeySubset","4988","Nick Chubb","RB","30","HOU"
"2023","991553376645116032","complete","snake","1","13","13","Zac's Failure","3198","Derrick Henry","RB","32","BAL"
"2023","991553376645116032","complete","snake","1","14","14","Team BetterThanAverage","2133","Davante Adams","WR","33","LAR"
"2023","991553376645116032","complete","snake","1","15","15","SchueyG","4866","Saquon Barkley","RB","28.9","PHI"
"2023","991553376645116032","complete","snake","1","16","16","Boogeyman","7526","Jaylen Waddle","WR","27.1","MIA"
"2023","991553376645116032","complete","snake","2","16","16","Boogeyman","6904","Jalen Hurts","QB","27.4","PHI"
"2023","991553376645116032","complete","snake","2","15","15","SchueyG","8146","Garrett Wilson","WR","25.4","NYJ"
"2023","991553376645116032","complete","snake","2","14","14","Team BetterThanAverage","5967","Tony Pollard","RB","28.7","TEN"
"2023","991553376645116032","complete","snake","2","13","13","Zac's Failure","7547","Amon-Ra St. Brown","WR","26.2","DET"
"2023","991553376645116032","complete","snake","2","12","12","GooeySubset","5012","Mark Andrews","TE","30.3","BAL"
"2023","991553376645116032","complete","snake","2","11","11","CEEDEEZ NUTS","9221","Jahmyr Gibbs","RB","23.8","DET"
"2023","991553376645116032","complete","snake","2","10","10","Havana Bananas","7525","DeVonta Smith","WR","27.1","PHI"
"2023","991553376645116032","complete","snake","2","9","9","Josh Barsa’s Insulin Pump","4046","Patrick Mahomes","QB","30.3","KC"
"2023","991553376645116032","complete","snake","2","8","8","Henry Ruggs’ Racecrew","8144","Chris Olave","WR","25.5","NO"
"2023","991553376645116032","complete","snake","2","7","6","lowerthanaverage","7528","Najee Harris","RB","27.8","LAC"
"2023","991553376645116032","complete","snake","2","6","7","Zac’s Success","7543","Travis Etienne","RB","26.9","JAX"
"2023","991553376645116032","complete","snake","2","5","5","Pat gregorys jockstrap","4984","Josh Allen","QB","29.6","BUF"
"2023","991553376645116032","complete","snake","2","4","4","jche","5850","Josh Jacobs","RB","27.9","GB"
"2023","991553376645116032","complete","snake","2","3","3","Zac has tiny pp","1479","Keenan Allen","WR","33.7","LAC"
"2023","991553376645116032","complete","snake","2","2","2","Gibby2224","4199","Aaron Jones","RB","31.1","MIN"
"2023","991553376645116032","complete","snake","2","1","1","Tuafinity and Beyond","4018","Joe Mixon","RB","29.4","HOU"
"2023","991553376645116032","complete","snake","3","16","16","Boogeyman","6813","Jonathan Taylor","RB","26.9","IND"
"2023","991553376645116032","complete","snake","3","15","15","SchueyG","4981","Calvin Ridley","WR","31","TEN"
"2023","991553376645116032","complete","snake","3","14","14","Team BetterThanAverage","6801","Tee Higgins","WR","27","CIN"
"2023","991553376645116032","complete","snake","3","13","13","Zac's Failure","7611","Rhamondre Stevenson","RB","27.9","NE"
