"season","franchise_id","franchise_name","user_name","user_id","co_owners"
"2023","1","Tuafinity and Beyond","LuluMcSnu","725076157854244864",NA
"2023","2","Gibby2224","Gibby2224","725029254722572160",NA
"2023","3","Zac has tiny pp","Srw74","720358712962772992",NA
"2023","4","jche","jche","724398438275444608",NA
"2023","5","Pat gregorys jockstrap","jbarsa13","467050157607743360",NA
"2023","6","lowerthanaverage","lowerthanaverage","986824474450288640",NA
"2023","7","Zac’s Success","RBusser51","724320706204078080",NA
"2023","8","Henry Ruggs’ Racecrew","connorgriffiths","725034040587026432",NA
"2023","9","Josh Barsa’s Insulin Pump","patgregory53","735268218012368896",NA
"2023","10","Havana Bananas","Clovena","721099627511762944",NA
"2023","11","CEEDEEZ NUTS","DanFlem","443120930818879360",NA
"2023","12","GooeySubset","GooeySubset","466048454678802432",NA
"2023","13","Zac's Failure","bdwees","722632143850766208",NA
"2023","14","Team BetterThanAverage","JGBillions","722626997460733952",NA
"2023","15","SchueyG","SchueyG","724320234672025600",NA
"2023","16","Boogeyman","PBrennan13","688423592412643328",NA
"2024","1","Team I Hate CMC","JGBillions","722626997460733952",NA
"2024","2","Kupp Deez Nuts","bradbusser","989569454084296832",NA
"2024","3","Team Browns(2-6)","lowerthanaverage","986824474450288640",NA
"2024","4","The Dak Knight Rises","LuluMcSnu","725076157854244864",NA
"2024","5","CEEDEEZ NUTS","DanFlem","443120930818879424",NA
"2024","6","Jahmyr Deez Nuts","Clovena","721099627511762944",NA
"2024","7","Zac’s Success","RBusser51","724320706204078080",NA
"2024","8","Monty Python","SchueyG","724320234672025600",NA
"2024","9","Discount FAAB spender","jbarsa13","467050157607743424",NA
"2024","10","Zac's Secret 👀","bdwees","722632143850766208",NA
"2024","11","Gibby2224","Gibby2224","725029254722572160",NA
"2024","12","GooeySubset","GooeySubset","466048454678802432",NA
"2024","13","Big massive size 19 feet","jche","724398438275444608",NA
"2024","14","Josh Barsa’s Insulin Pump","patgregory53","735268218012368896",NA
"2025","1","Lamar’s Veiny Chubba","jbarsa13","467050157607743488",NA
"2025","2","Team Browns(2-15)","lowerthanaverage","986824474450288640",NA
"2025","3","Havana Bananas","Clovena","721099627511762944",NA
"2025","4","BTJ DEEZ NUTS","DanFlem","443120930818879488",NA
"2025","5","The Dak Knight Rises","LuluMcSnu","725076157854244864",NA
"2025","6","Team Godwin","JGBillions","722626997460733952",NA
"2025","7","Zac’s Success","RBusser51","724320706204078080",NA
"2025","8","Zac's Obsession 👀","bdwees","722632143850766336",NA
"2025","9","Big massive size 19 feet","jche","724398438275444736",NA
"2025","10","Tegucigalpa Guerreros","connorgriffiths","725034040587026432",NA
"2025","11","Gibby2224","Gibby2224","725029254722572288",NA
"2025","12","GooeySubset","GooeySubset","466048454678802432",NA
"2025","13","lucasrsigurdson","lucasrsigurdson","1249056567068737536",NA
"2025","14","TheUkraineMane","TheUkraineMane","1249097211652886528",NA
"2025","15","DeVonta’s Inferno","izzip","1249108057439354880",NA
"2025","16","Puka Deez Nuts ","bradbusser","989569454084296704",NA
"2025","17","Team Jake","jakemarchese1","933932196791025664",NA
"2025","18","Sherboi","Sherboi","1250129170923532288",NA
