"season","week","franchise_id","franchise_score","opponent_id","opponent_score","result"
"2023","1","1","112.2","8","100.54","W"
"2023","1","2","112.36","12","49.12","W"
"2023","1","3","94.64","7","94.56","W"
"2023","1","4","83.64","13","97.02","L"
"2023","1","5","92.28","10","58.18","W"
"2023","1","6","77.08","16","75.26","W"
"2023","1","7","94.56","3","94.64","L"
"2023","1","8","100.54","1","112.2","L"
"2023","1","9","112.86","14","87.02","W"
"2023","1","10","58.18","5","92.28","L"
"2023","1","11","97.74","15","139.36","L"
"2023","1","12","49.12","2","112.36","L"
"2023","1","13","97.02","4","83.64","W"
"2023","1","14","87.02","9","112.86","L"
"2023","1","15","139.36","11","97.74","W"
"2023","1","16","75.26","6","77.08","L"
"2023","2","1","111.84","5","150.28","L"
"2023","2","2","132.44","15","44.3","W"
"2023","2","3","103.14","10","119.92","L"
"2023","2","4","101.1","14","126.5","L"
"2023","2","5","150.28","1","111.84","W"
"2023","2","6","81.62","7","173.7","L"
"2023","2","7","173.7","6","81.62","W"
"2023","2","8","106.04","13","123.34","L"
"2023","2","9","135.46","12","108.02","W"
"2023","2","10","119.92","3","103.14","W"
"2023","2","11","111.06","16","105.44","W"
"2023","2","12","108.02","9","135.46","L"
"2023","2","13","123.34","8","106.04","W"
"2023","2","14","126.5","4","101.1","W"
"2023","2","15","44.3","2","132.44","L"
"2023","2","16","105.44","11","111.06","L"
"2023","3","1","128.16","3","109.46","W"
"2023","3","2","99.96","9","141.48","L"
"2023","3","3","109.46","1","128.16","L"
"2023","3","4","136.78","12","104.58","W"
"2023","3","5","100.6","13","106.7","L"
"2023","3","6","117.54","10","113.82","W"
"2023","3","7","175.26","11","163.96","W"
"2023","3","8","122.16","14","108.86","W"
"2023","3","9","141.48","2","99.96","W"
"2023","3","10","113.82","6","117.54","L"
"2023","3","11","163.96","7","175.26","L"
"2023","3","12","104.58","4","136.78","L"
"2023","3","13","106.7","5","100.6","W"
"2023","3","14","108.86","8","122.16","L"
"2023","3","15","88.66","16","91.38","L"
"2023","3","16","91.38","15","88.66","W"
"2023","4","1","91.62","6","110.4","L"
"2023","4","2","92.86","4","130.22","L"
"2023","4","3","73.28","13","124.3","L"
"2023","4","4","130.22","2","92.86","W"
"2023","4","5","165.24","14","110.74","W"
"2023","4","6","110.4","1","91.62","W"
"2023","4","7","134.08","15","0","W"
"2023","4","8","134.6","12","101.76","W"
"2023","4","9","144.26","16","115.84","W"
"2023","4","10","111.84","11","138.28","L"
"2023","4","11","138.28","10","111.84","W"
"2023","4","12","101.76","8","134.6","L"
"2023","4","13","124.3","3","73.28","W"
"2023","4","14","110.74","5","165.24","L"
"2023","4","15","0","7","134.08","L"
"2023","4","16","115.84","9","144.26","L"
"2023","5","1","98.44","11","133.02","L"
"2023","5","2","117.98","8","196.98","L"
"2023","5","3","0","15","0","T"
"2023","5","4","138.88","9","123.86","W"
"2023","5","5","131.68","12","133.02","L"
"2023","5","6","158.02","13","71.96","W"
"2023","5","7","78.86","14","79.12","L"
"2023","5","8","196.98","2","117.98","W"
"2023","5","9","123.86","4","138.88","L"
"2023","5","10","129.44","16","95.34","W"
"2023","5","11","133.02","1","98.44","W"
"2023","5","12","133.02","5","131.68","W"
"2023","5","13","71.96","6","158.02","L"
"2023","5","14","79.12","7","78.86","W"
"2023","5","15","0","3","0","T"
"2023","5","16","95.34","10","129.44","L"
"2023","6","1","138.18","16","94.02","W"
"2023","6","2","106.64","5","79.76","W"
"2023","6","3","0","12","143.3","L"
"2023","6","4","115.54","15","0","W"
"2023","6","5","79.76","2","106.64","L"
"2023","6","6","105.04","14","122.28","L"
"2023","6","7","128.68","10","106.06","W"
"2023","6","8","104.44","9","125.44","L"
"2023","6","9","125.44","8","104.44","W"
"2023","6","10","106.06","7","128.68","L"
"2023","6","11","116.78","13","0","W"
"2023","6","12","143.3","3","0","W"
"2023","6","13","0","11","116.78","L"
"2023","6","14","122.28","6","105.04","W"
"2023","6","15","0","4","115.54","L"
"2023","6","16","94.02","1","138.18","L"
"2023","7","1","126.04","7","117.36","W"
"2023","7","2","127.74","9","143.56","L"
"2023","7","3","0","5","0","T"
"2023","7","4","143.36","8","112.62","W"
"2023","7","5","0","3","0","T"
"2023","7","6","114.96","12","136.56","L"
"2023","7","7","117.36","1","126.04","L"
"2023","7","8","112.62","4","143.36","L"
"2023","7","9","143.56","2","127.74","W"
"2023","7","10","158.5","16","118.58","W"
"2023","7","11","127.24","14","81.34","W"
"2023","7","12","136.56","6","114.96","W"
"2023","7","13","0","15","0","T"
"2023","7","14","81.34","11","127.24","L"
"2023","7","15","0","13","0","T"
"2023","7","16","118.58","10","158.5","L"
"2023","8","1","128.1","10","133.96","L"
"2023","8","2","191.36","6","144.08","W"
"2023","8","3","0","5","0","T"
"2023","8","4","136.68","9","134.42","W"
"2023","8","5","0","3","0","T"
"2023","8","6","144.08","2","191.36","L"
"2023","8","7","172.12","8","136.08","W"
