"season","franchise_id","franchise_name","week","starter_status","player_id","player_name","pos","team"
"2023","1","Tuafinity and Beyond","1","starter","10222","Jayden Reed","WR","GB"
"2023","1","Tuafinity and Beyond","1","nonstarter","2197","Brandin Cooks","WR","BUF"
"2023","1","Tuafinity and Beyond","1","starter","3198","Derrick Henry","RB","BAL"
"2023","1","Tuafinity and Beyond","1","starter","4217","George Kittle","TE","SF"
"2023","1","Tuafinity and Beyond","1","starter","5947","Jakobi Meyers","WR","JAX"
"2023","1","Tuafinity and Beyond","1","starter","6819","Michael Pittman","WR","IND"
"2023","1","Tuafinity and Beyond","1","starter","7547","Amon-Ra St. Brown","WR","DET"
"2023","1","Tuafinity and Beyond","1","starter","7611","Rhamondre Stevenson","RB","NE"
"2023","1","Tuafinity and Beyond","1","nonstarter","9226","De'Von Achane","RB","MIA"
"2023","1","Tuafinity and Beyond","1","starter","96","Aaron Rodgers","QB","PIT"
"2023","2","Gibby2224","1","starter","1426","DeAndre Hopkins","WR","BAL"
"2023","2","Gibby2224","1","starter","2216","Mike Evans","WR","TB"
"2023","2","Gibby2224","1","starter","4663","Austin Ekeler","RB","WAS"
"2023","2","Gibby2224","1","starter","5870","Daniel Jones","QB","IND"
"2023","2","Gibby2224","1","starter","5927","Terry McLaurin","WR","WAS"
"2023","2","Gibby2224","1","starter","7543","Travis Etienne","RB","JAX"
"2023","2","Gibby2224","1","starter","7600","Pat Freiermuth","TE","PIT"
"2023","2","Gibby2224","1","starter","8154","Brian Robinson","RB","SF"
"2023","2","Gibby2224","1","nonstarter","9497","Jalin Hyatt","WR","NYG"
"2023","2","Gibby2224","1","nonstarter","9757","Kendre Miller","RB","NO"
"2023","3","Zac has tiny pp","1","nonstarter","4039","Cooper Kupp","WR","SEA"
"2023","3","Zac has tiny pp","1","starter","4066","Evan Engram","TE","DEN"
"2023","3","Zac has tiny pp","1","starter","4080","Zay Jones","WR","ARI"
"2023","3","Zac has tiny pp","1","starter","4147","Samaje Perine","RB","CIN"
"2023","3","Zac has tiny pp","1","starter","5967","Tony Pollard","RB","TEN"
"2023","3","Zac has tiny pp","1","nonstarter","6801","Tee Higgins","WR","CIN"
"2023","3","Zac has tiny pp","1","starter","7523","Trevor Lawrence","QB","JAX"
"2023","3","Zac has tiny pp","1","starter","7588","Javonte Williams","RB","DAL"
"2023","3","Zac has tiny pp","1","starter","9494","Marvin Mims","WR","DEN"
"2023","3","Zac has tiny pp","1","starter","9754","Quentin Johnston","WR","LAC"
"2023","4","jche","1","nonstarter","2161","Jerick McKinnon","RB",NA
