"season","timestamp","type","type_desc","franchise_id","franchise_name","player_id","player_name","pos","team","bbid_amount","trade_partner","waiver_priority","comment"
"2023","2023-12-30 08:09:58.335","waiver_complete","added","11","CEEDEEZ NUTS","8144","Chris Olave","WR","NO","0",NA,NA,NA
"2023","2023-12-30 08:09:58.335","waiver_complete","dropped","11","CEEDEEZ NUTS","8151","Kenneth Walker","RB","SEA",NA,NA,NA,NA
"2023","2023-12-30 08:09:58.335","waiver_complete","added","11","CEEDEEZ NUTS","9226","De'Von Achane","RB","MIA","0",NA,NA,NA
"2023","2023-12-30 08:09:58.335","waiver_complete","dropped","11","CEEDEEZ NUTS","5846","DK Metcalf","WR","PIT",NA,NA,NA,NA
"2023","2023-12-30 08:09:58.335","waiver_complete","added","6","lowerthanaverage","3164","Ezekiel Elliott","RB",NA,"0",NA,NA,NA
"2023","2023-12-30 08:09:58.335","waiver_complete","dropped","6","lowerthanaverage","4035","Alvin Kamara","RB","NO",NA,NA,NA,NA
"2023","2023-12-29 08:09:48.47","waiver_complete","added","11","CEEDEEZ NUTS","6819","Michael Pittman","WR","IND","0",NA,NA,NA
"2023","2023-12-29 00:09:37.798","free_agent","dropped","11","CEEDEEZ NUTS","2309","Amari Cooper","WR",NA,NA,NA,NA,NA
"2023","2023-12-28 08:09:40.001","waiver_complete","added","6","lowerthanaverage","6813","Jonathan Taylor","RB","IND","0",NA,NA,NA
"2023","2023-12-28 08:09:40.001","waiver_complete","dropped","6","lowerthanaverage","8139","Zamir White","RB","LV",NA,NA,NA,NA
"2023","2023-12-28 08:09:40.001","waiver_complete","added","11","CEEDEEZ NUTS","8183","Brock Purdy","QB","SF","0",NA,NA,NA
"2023","2023-12-28 08:09:40.001","waiver_complete","dropped","11","CEEDEEZ NUTS","5927","Terry McLaurin","WR","WAS",NA,NA,NA,NA
"2023","2023-12-28 08:09:40.001","waiver_complete","added","6","lowerthanaverage","5022","Dallas Goedert","TE","PHI","0",NA,NA,NA
"2023","2023-12-28 08:09:40.001","waiver_complete","dropped","6","lowerthanaverage","7526","Jaylen Waddle","WR","MIA",NA,NA,NA,NA
"2023","2023-12-28 08:09:40.001","waiver_complete","added","6","lowerthanaverage","4035","Alvin Kamara","RB","NO","0",NA,NA,NA
"2023","2023-12-28 08:09:40.001","waiver_complete","dropped","6","lowerthanaverage","8205","Isiah Pacheco","RB","KC",NA,NA,NA,NA
"2023","2023-12-28 08:09:40.001","waiver_complete","added","11","CEEDEEZ NUTS","3294","Dak Prescott","QB","DAL","0",NA,NA,NA
"2023","2023-12-28 08:09:40.001","waiver_complete","dropped","11","CEEDEEZ NUTS","1234","Russell Wilson","QB","NYG",NA,NA,NA,NA
"2023","2023-12-27 08:09:37.886","waiver_complete","added","11","CEEDEEZ NUTS","4217","George Kittle","TE","SF","0",NA,NA,NA
"2023","2023-12-27 08:09:37.886","waiver_complete","dropped","11","CEEDEEZ NUTS","9997","Zay Flowers","WR","BAL",NA,NA,NA,NA
"2023","2023-12-27 08:09:37.886","waiver_complete","added","11","CEEDEEZ NUTS","1466","Travis Kelce","TE","KC","0",NA,NA,NA
"2023","2023-12-27 08:09:37.886","waiver_complete","dropped","11","CEEDEEZ NUTS","5844","T.J. Hockenson","TE","MIN",NA,NA,NA,NA
"2023","2023-12-27 08:09:37.886","waiver_complete","added","6","lowerthanaverage","3321","Tyreek Hill","WR","MIA","0",NA,"1",NA
"2023","2023-12-27 08:09:37.886","waiver_complete","dropped","6","lowerthanaverage","9756","Jordan Addison","WR","MIN",NA,NA,"1",NA
"2023","2023-12-27 08:09:37.886","waiver_failed","added","6","lowerthanaverage","9221","Jahmyr Gibbs","RB","DET","0",NA,"10","This player was claimed by another owner."
"2023","2023-12-27 08:09:37.886","waiver_failed","dropped","6","lowerthanaverage","8205","Isiah Pacheco","RB","KC",NA,NA,"10","This player was claimed by another owner."
"2023","2023-12-27 08:09:37.886","waiver_complete","added","6","lowerthanaverage","4881","Lamar Jackson","QB","BAL","0",NA,"7",NA
"2023","2023-12-27 08:09:37.886","waiver_complete","dropped","6","lowerthanaverage","5849","Kyler Murray","QB","ARI",NA,NA,"7",NA
"2023","2023-12-27 08:09:37.886","waiver_complete","added","6","lowerthanaverage","5872","Deebo Samuel","WR","WAS","0",NA,"8",NA
"2023","2023-12-27 08:09:37.886","waiver_complete","dropped","6","lowerthanaverage","8228","Jaylen Warren","RB","PIT",NA,NA,"8",NA
